Rating,Date,Titles,Review,Company
1,15/06/2023,What a waste of time and money,"""We are sorry for the extended delay. We will answer your call as soon as we can"" This is all I get from ABC HealthCare. Along with what they call 'technical difficulties' with the app. When they can't help, which is standard operating procedure, they say ""see your GP"". The main reason for choosing ABC HealthCare and paying a very high premium because of my age was to save time and get prompt assistance. My experience amounts to endless phone calls, relentless excuses and summarily appalling service. I will be cancelling my policy and seeking another private health insurance provider because at this moment I cannot imagine any other company could be worse than this.",ABC HealthCare
1,22/05/2023,Dire service!,"* UPDATE *  Over a week after this review, asking for a call, yesterday I received 4 calls from ABC HealthCare. Each one had *no one* there! I cannot emphasise how painful this is to try and deal with your organisation.  I now urgently need to organise treatment.  Please call me and stop using automated telephony which is clearly failing!  Thank you.  * UPDATE *  Dear ABC HealthCare, I refuse to write bad reviews however in your case, it is thoroughly deserved! I am writing this to get action, I cannot spend another 40 mins on the phone stuck in your system. When I do get through, in the quiet period in the evening you say the right team only has one person and when they eventually call me back days later, they can’t hear me and I’m in a quiet location. I get cut off.  You cancelled my account for no reason last year. The letter said ‘sorry my to see you go’. I have been with you since 2005/6.  It took 2 complaint letters to get a response back 7 months later, claiming my direct debit had been cancelled, yet you never told me of this. I never cancelled it. You also insist in charging me for 9 months+ for the time I could not use your services due to *your* cancellation in error.  I want to reinstate my account urgently.  You have my name, please call me.  Thank you.  Darren.",ABC HealthCare
3,15/05/2023,Should take sick people into consideration,- The system assumes the individual is not very sick and can afford to waste a hour on the phone to secure authorisation numbers. - MRI should be included in the first authorisation as some conditions can't be discovered with a blood test or scans.,ABC HealthCare
5,28/06/2023,100%     Efficiency,100%     Efficiency,ABC HealthCare
3,15/03/2023,2 months to get an appointment mid march,2 months to get an appointment mid march,ABC HealthCare
5,19/06/2023,A call with regards to mental health…,"A call with regards to mental health for a family member and the person also mentioned that if i was suffering due to the family member not being well, he would recommend me to get some help.  I appreciated that concern a lot as he was spot on.",ABC HealthCare
5,18/05/2023,A great professional and calming…,A great professional and calming experience. Felt at ease and cared for. All staff friendly and welcoming,ABC HealthCare
4,23/05/2023,Medical problem experience,A minimum of formality. Very helpful and sympathetic. Very efficient.,ABC HealthCare
5,16/03/2023,A really easy company to deal with,"A really easy company to deal with, no fuss, polite and knowledgeable people on the end of the telephones.",ABC HealthCare
5,23/04/2023,A really suburb company that evaluates…,A really suburb company that evaluates claims promptly &amp; either responds or pay out without undue delay!,ABC HealthCare
4,03/05/2023,A very helpful voice on the end of the…,A very helpful voice on the end of the phone called Chris  - he made the call easy and very efficient.  I was emailed and sent a text whilst still on the call with him with the relevant information I needed to continue my journey with ABC HealthCare.  My one note is that some of the consultants don't work at the hospital lists provided but I suspect that is up to them to inform ABC HealthCare so information can be updated!,ABC HealthCare
1,29/06/2023,AVOID!!,"AVOID!!! Awful company to deal with. I have taken out PMI with them and upon trying to set up the ABC HealthCare Blua app, which allows you access to your services, there was a technical fault and I had to call the technical team. I called every day for around 2 weeks and each time I was hold for more than 30 minutes, so I hung up. Finally got through this morning to be told it's an I.T issue and they could not give me a time frame when it would be fixed! I've contacted them regarding some other issues prior to this and nobody seems to know what they are doing when they answer the phone or they just want to palm you off to another department as quick as they can. They are honestly one of the worst companies I've ever dealt with and I would never recommend anyone to join them.",ABC HealthCare
5,23/07/2023,Able to talk to someone,"Able to talk to someone, the person being friendly and helpful, trying to address the issue immediately and effectively.",ABC HealthCare
1,07/05/2023,Absolute crap,"Absolute crap. Absurdly hard to navigate app ABC HealthCare Touch that makes you open a separate app Babylon. Try to schedule a call consultation, takes all your info..confirms... then no one ever calls. You try again and you're asked to pay....You give up and call...but wait...their phone lines are limited or closed depending on the day. Forget Sunday.  And when they are opened prepare to wait a LONG LONG time.   We pay for this!???  Why is it impossible to get ABC HealthCare to answer the phone? - the worst customer service.",ABC HealthCare
1,20/06/2023,Absolute rubbish service,"Absolute rubbish service, call 7 times and each time was given a different answer to the same question. ABC HealthCare keep no proper records of conversations and claim that recordings of calls go missing. They don't reply to emails to confirm a claim is valid to avoid paying up once you have had treatment, their colors change when you make a legit claim. Call waiting times are terrible and IVR option are ambiguous, wasting time being passed on from one department to another. A total shambles !",ABC HealthCare
5,19/04/2023,I had to wait on the phone Fir over an hour to get any response and that too after I had spoken to the agent the day or so before and I was not clear at all about the conditions and did not get a mess,Absolutely bad sxoerience Had two hours esit on the phone on two occasions that I called ABC HealthCare,ABC HealthCare
1,19/07/2023,Absolutely disgusting service I pay…,Absolutely disgusting service I pay every month I wanted a blood test for a number of symptoms but apparently its not good enough I need a referral from the doctor!!! If I could see the doctor I wouldn't need private healthcare !!!!,ABC HealthCare
5,16/04/2023,First class service from start to finish,"Absolutely fantastic service from dealing with the pre authorisation to having completed the procedure, everyone involved was professional, friendly and wanting to please.",ABC HealthCare
1,15/05/2023,Absolutely shocking.,Absolutely shocking. I’ve been a member of ABC HealthCare for several years but this month (May 2023) decided to use them for a medical concern for the first time. I didn’t realise that one has to do all the leg work! Been trying to get an appointment for relatively minor surgery ALL DAY. They don’t do anything! One even has to open further accounts just to send and receive emails. Forget about getting though on phone unless to want to wait 30 mins. The process is a massive complicated mess and you’ll get no help. One has to download an app (log in and password again) that has got nothing to do with ABC HealthCare! When I finally got through to a doctor’s secretary on this app I she told me she couldn’t do anything without an authorisation code. ABC HealthCare never mentioned anything about that. I told her I’d be better off going to my garage and sorting through some tools to do the surgery myself! Save yourself a massive job and just wait for NHS.,ABC HealthCare
1,02/04/2023,Fix your Network. No one accepts any referral.,"Absurdly long wait times in call. The folks in the calls are nice though, nothing at all against them.  The list of pre-approved doctors never accepted any referrals. I went through at last 30-40 different doctors but just nothing. Fix your network. Waste of a year worth of premium paid into this, that too for the whole family.",ABC HealthCare
4,22/05/2023,Good service,"After a rocky start trying to understand exactly what I'm covered for and getting bogged down with jargon from ABC HealthCare, the process is now much clearer and has been relatively easy to arrange pre-authorisations.",ABC HealthCare
4,26/04/2023,First time of use,After an initial set-up to get my dental plan to upload with my account .  Everything was fine.  I was unsure if a broken tooth was an emergency or not. A definition guide for an emergency would be usefull,ABC HealthCare
4,14/05/2023,After difficulty getting through to…,"After difficulty getting through to someone with working systems to book an appointment, the service provided by the provider I did choose has been great.",ABC HealthCare
2,09/08/2023,Slowest IT Support,"After joining ABC HealthCare health insurance for more than three weeks, I still haven't managed to register online after seeking help through live chat once and telephone calls twice. My complaints and the indication of my intention of leaving a negative review here failed accelerate their responding time which is up to three weeks! That would mean potentially I won't get their online service for more than a month after I joined. This is not acceptable.",ABC HealthCare
1,04/07/2023,More than doubled premium because of a claim less in value than my excess,"After just one year more than doubling my premium on basis I had a claim, it was the most minor of claims which totalled less than my excess ie it cost ABC HealthCare nothing. Tried to communicate via chat on their website, waited about 20 mins only to get message saying it ‘couldn’t connect’.",ABC HealthCare
5,26/04/2023,Great Service From Contact to starting treatment.,After my initial contact we ABC HealthCare I was given the okay to contact my chosen consultant for my consultation. From there he dealt with ABC HealthCare who okayed my blood cancer treatment of which I am now underway with cannot fault the very high service I have received. Which has now given me peace of mind.,ABC HealthCare
4,18/04/2023,After my initial experience with ABC HealthCare,"After my initial experience with ABC HealthCare, being left on hold for 27 minutes on the helpline, my last call was quickly answered and dealt with effectively",ABC HealthCare
5,18/06/2023,After the initial time taken to get an…,"After the initial time taken to get an authorisation code, everything went really smoothly with the insurance process",ABC HealthCare
2,24/05/2023,ABC HealthCare  In Touch app doesn't work for me.,"After the now obligatory 30 minute wait for them to answer the phone, I gave up and asked for help via their complaints page:- ""Following receipt today of a letter from ABC HealthCare asking me to download and enrol ABC HealthCare Touch, I tried to do so.  Having completed the forms and being asked to log in with the details entered, I am repeatedly told “Invalid Details”. Tried the digital helpline, placed in a queue due to “unexpectedly call volumes”, Really? Virtual chat: told they couldn’t help me. Can you help?"" Since then I've heard nothing. I've been a member/customer for over 20 years and witnessed a once great company slide ever further down the customer service slide. I would have left years ago, but the health insurance business has a clear model, ""We don't accept any pre-existing conditions"", so you're stuck with your current provider.",ABC HealthCare
